step,total,lm,rec,kl
6120,3.248199,2.626771,0.615701,572.782776
6130,3.202921,2.573702,0.62331,590.922974
6140,3.370136,2.73909,0.625276,576.905701
6150,2.797981,2.145462,0.646838,568.06073
6160,3.446637,2.868599,0.572394,564.458862
6170,3.780716,2.600418,1.174367,593.101624
6180,3.549427,2.96128,0.582197,595.031982
6190,2.882507,2.267791,0.608881,583.533813
6200,3.307868,2.700608,0.601337,592.311157
6210,2.956339,2.319566,0.630836,593.769104
6220,2.951903,2.357276,0.588543,608.387878
6230,3.350746,2.279861,1.064723,616.168091
6240,3.161336,2.557335,0.597999,600.170166
6250,3.121852,2.504103,0.611749,599.975708
6260,3.252467,2.661618,0.584768,608.167175
6270,3.330143,2.742986,0.581171,598.581177
6280,4.020705,2.863701,1.150734,626.882324
6290,3.171816,2.593074,0.572646,609.48761
6300,2.861876,2.242921,0.612864,608.994324
6310,2.617962,1.997983,0.613937,604.236023
6320,2.937512,2.381593,0.549942,597.697021
6330,2.971188,2.397674,0.567567,594.73584
6340,2.659939,2.058846,0.595164,592.822083
6350,3.567704,2.94023,0.621546,592.800964
6360,2.706832,2.078714,0.622143,597.490417
6370,2.690729,2.037003,0.647771,595.561584
6380,3.406837,2.785463,0.615534,583.97699
6390,3.131912,2.510636,0.615258,601.900818
6400,3.010836,2.406798,0.598127,591.108887
6410,3.169375,2.506944,0.656617,581.355591
6420,3.901016,2.730012,1.164988,601.605896
6430,3.011028,2.425857,0.579153,601.739258
6440,3.03628,2.450622,0.579694,596.431458
6450,3.070736,2.495361,0.569291,608.35376
6460,2.654059,2.025995,0.622234,583.037109
6470,2.220829,1.569422,0.64538,602.675171
6480,2.492296,1.851572,0.634706,601.824219
6490,2.94203,2.391976,0.54415,590.398376
6500,2.956423,2.340206,0.610287,592.953125
6510,3.227958,2.648503,0.57352,593.535217
6520,3.090652,2.456382,0.62832,594.985535
6530,2.536893,1.902644,0.62834,590.862244
6540,3.414467,2.753647,0.655037,578.345703
6550,2.768954,2.101532,0.661356,606.548279
6560,3.021197,2.426776,0.5884,602.187561
6570,2.822286,2.24337,0.573022,589.397522
6580,2.948472,2.338657,0.603857,595.736938
6590,2.510058,1.8761,0.62825,570.714722
6600,3.08034,2.448687,0.625837,581.612366
6610,3.301733,2.148417,1.147324,599.223938
6620,2.722052,2.148041,0.568174,583.628967
6630,2.877979,2.252448,0.61959,594.135925
6640,3.136447,2.489127,0.641513,580.670349
6650,3.080195,2.449674,0.624647,587.416565
6660,3.663049,2.726562,0.93059,589.661316
6670,3.396848,2.836747,0.554294,580.708313
6680,2.471698,1.833524,0.632252,592.311157
6690,3.196064,2.590066,0.600049,594.892883
6700,3.049208,2.451432,0.591838,593.833008
6710,2.858215,2.230919,0.621392,590.413574
6720,3.211562,2.633162,0.572525,587.539246
6730,2.810232,2.1953,0.608981,595.05603
6740,3.217566,2.535971,0.675821,577.500977
6750,3.043862,2.419019,0.618964,587.896912
6760,2.527177,1.895165,0.626068,594.287781
6770,2.609458,1.99089,0.612737,583.103516
6780,2.919511,2.339741,0.573807,596.266602
6790,2.81785,2.183415,0.628685,574.99408
6800,3.494888,2.461929,1.027083,587.573303
6810,2.559677,1.928111,0.625588,597.799927
6820,2.350091,1.7324,0.611768,592.280823
6830,3.437798,2.818659,0.61325,588.895935
6840,2.86356,2.227925,0.629777,585.789917
6850,3.470889,2.862885,0.602211,579.329773
6860,3.372108,2.73365,0.63265,580.789307
6870,3.175433,2.601228,0.568248,595.674133
6880,2.592492,1.999239,0.587207,604.625427
6890,3.181704,2.583522,0.592315,586.635254
6900,3.559541,2.909588,0.644194,575.949097
6910,2.422756,1.84833,0.568375,605.175964
6920,3.53465,2.384417,1.144075,615.761902
6930,3.167475,2.546153,0.615346,597.676208
6940,3.281309,2.662288,0.61308,594.138733
6950,2.992373,2.350303,0.636085,598.570129
6960,3.325812,2.686563,0.633522,572.679871
6970,3.14107,2.573425,0.561678,596.743164
6980,2.749493,2.102149,0.641403,594.074463
6990,2.83281,2.248035,0.578746,602.919067
7000,3.10441,2.51046,0.588085,586.412231
7010,3.058117,2.453721,0.598495,590.076233
7020,3.302543,2.701228,0.595353,596.220886
7030,3.12387,2.523037,0.594965,586.774963
7040,2.793026,2.193957,0.593117,595.196167
7050,2.959802,2.396327,0.557634,584.197876
7060,3.106071,2.447114,0.653052,590.487061
7070,3.012163,2.40678,0.599398,598.546631
7080,3.335661,2.687522,0.642409,573.028809
7090,2.971999,2.369079,0.59712,579.883911
7100,2.862584,2.202932,0.653662,599.062805
7110,3.014352,2.423272,0.58512,596.007568
7120,3.079757,2.494724,0.579127,590.672974
7130,3.130785,2.502738,0.622074,597.296387
7140,3.083207,2.523691,0.553536,597.935425
7150,2.974566,2.407171,0.561403,599.187744
7160,2.962264,2.394493,0.561813,595.754883
7170,2.52016,1.94031,0.573977,587.298523
7180,2.697764,2.037305,0.65446,599.915466
7190,2.8482,2.231888,0.610281,603.112488
7200,2.88612,2.292422,0.587723,597.482178
7210,3.37991,2.740551,0.633465,589.422852
7220,2.679214,2.048357,0.625466,539.108765
7230,3.20382,2.576706,0.621209,590.483643
7240,2.908362,2.283095,0.619402,586.505371
7250,3.10334,2.491451,0.606093,579.514282
7260,3.126144,2.558984,0.561307,585.271729
7270,2.9469,2.330803,0.610218,587.868347
7280,3.148166,2.49788,0.644348,593.818481
7290,2.773486,2.144139,0.623292,605.531433
7300,2.655755,2.033855,0.61582,607.865173
7310,2.891423,2.31148,0.573942,600.123291
7320,2.816955,2.247237,0.563674,604.415894
7330,2.855025,2.317681,0.531401,594.330872
7340,3.343804,2.756361,0.581464,597.870667
7350,3.708013,2.56968,1.132248,608.475281
7360,2.945623,2.347661,0.592013,594.980652
7370,3.113341,2.551643,0.555799,589.952637
7380,2.703946,2.127019,0.570958,596.814087
7390,2.566719,1.917636,0.643153,592.976135
7400,2.965894,2.376256,0.583726,591.192017
7410,2.787553,2.15357,0.628012,597.085144
7420,2.835687,2.250881,0.578851,595.601746
7430,3.234193,2.605911,0.622384,589.709412
7440,2.943695,2.385465,0.552366,586.274231
7450,3.002844,2.365495,0.631266,608.348267
7460,3.015982,2.398119,0.611835,602.770691
7470,2.891393,1.808676,1.076528,618.898987
7480,3.251567,2.136049,1.109477,604.100342
7490,2.771777,2.196793,0.569097,588.685913
7500,3.406779,2.210536,1.190215,602.738464
7510,3.486478,2.857271,0.623324,588.265686
7520,3.187257,2.529714,0.6515,604.269043
7530,2.575958,1.963428,0.60655,597.957031
7540,2.709208,2.06829,0.634906,601.242188
7550,2.883864,2.236623,0.641295,594.591919
7560,3.340723,2.757051,0.577827,584.527161
7570,2.675611,2.034797,0.634877,593.665344
7580,2.811689,2.194152,0.611573,596.416687
7590,3.176246,2.506369,0.663934,594.300354
7600,3.369938,2.738396,0.625621,592.033386
7610,2.956346,2.33601,0.614338,599.890625
7620,2.875747,2.283519,0.58627,595.859802
7630,2.594803,1.95353,0.635245,602.839417
7640,2.974537,2.411379,0.557188,596.926086
7650,3.800174,2.626886,1.167218,606.933472
7660,3.338223,2.743294,0.589019,591.038147
7670,2.721149,2.134584,0.580611,595.518921
7680,2.858182,2.265754,0.586491,593.663025
7690,2.692686,2.072081,0.614533,607.217407
7700,3.494941,2.880681,0.608246,601.314758
7710,2.879982,2.247059,0.627045,587.767517
7720,2.750626,2.14269,0.60197,596.55426
7730,2.88369,2.314278,0.563484,592.77594
7740,3.999341,2.884559,1.108776,600.538208
7750,3.20459,2.566831,0.631949,581.019714
7760,2.981333,2.379591,0.595874,586.815979
7770,2.626056,1.976208,0.643956,589.183105
7780,2.513468,1.894164,0.613271,603.353943
7790,2.897879,2.305716,0.586228,593.505737
7800,2.542445,1.93513,0.601402,591.291504
7810,2.715628,2.047842,0.661793,599.202148
7820,2.781749,2.159915,0.615855,597.922363
7830,3.017179,2.426619,0.584618,594.176636
7840,2.813868,2.255892,0.552075,590.127441
7850,2.59435,1.984999,0.603456,589.518066
7860,2.955151,2.288194,0.660997,595.923157
7870,2.930529,2.34793,0.576642,595.693787
7880,3.317953,2.660605,0.651405,594.306335
7890,2.576448,1.490004,1.080408,603.646851
7900,2.708158,2.058735,0.643453,597.03363
7910,2.634922,2.07019,0.558846,588.582947
7920,3.017405,2.376541,0.634873,599.063538
7930,3.13895,2.53805,0.595032,586.779846
7940,3.542024,2.923617,0.612517,589.035339
7950,3.001493,2.384649,0.611085,575.869873
7960,2.700069,2.050038,0.644116,591.474304
7970,2.905783,2.267507,0.632288,598.766785
7980,2.811637,2.224179,0.581592,586.589966
7990,2.987402,2.35673,0.624748,592.431213
8000,2.787032,2.137656,0.643291,608.441223
